Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	197	130	NA	378341	0.38
DNA/EnSpmCACTA	EnSpm-2_Cia	12522	1	1	NA	287	0.00
###DNA/EnSpmCACTA	All_elements	NA	198	131	NA	378628	0.3801

DNA/L1	L1-1_GR	5704	96	48	NA	122324	0.12
DNA/L1	L1-1_STu	8263	1	1	NA	282	0.00
###DNA/L1	All_elements	NA	97	49	NA	122606	0.1231

DNA/MULE-MuDR	MuDR-8_Mad	6240	2	1	NA	261	0.00
###DNA/MULE-MuDR	All_elements	NA	2	1	NA	261	0.0003

DNA/MarinerTc1	Mariner-1_RC	2222	9	4	NA	6153	0.01
###DNA/MarinerTc1	All_elements	NA	9	4	NA	6153	0.0062

DNA/MuDR	MuDR-1_GR	7211	77	60	NA	46634	0.05
DNA/MuDR	MuDR-2_GR	6708	222	163	NA	178218	0.18
DNA/MuDR	MuDR-3_GR	4333	93	90	NA	17290	0.02
DNA/MuDR	MuDR-4_GR	7191	392	186	NA	406978	0.41
DNA/MuDR	MuDR-4_TC	4263	4	1	NA	2280	0.00
DNA/MuDR	MuDR-5_GR	7783	281	162	NA	234417	0.24
DNA/MuDR	MuDR-64_OS	5513	2	2	NA	1239	0.00
DNA/MuDR	MuDR-6_OS	7633	3	1	NA	568	0.00
DNA/MuDR	MuDR-8_Mad	6240	1	1	NA	76	0.00
###DNA/MuDR	All_elements	NA	1075	666	NA	887700	0.8913

DNA/hAT	TIP100	3873	1	1	NA	2393	0.00
DNA/hAT	hAT-1_GR	4719	59	34	NA	22643	0.02
DNA/hAT	hAT-1_TC	3200	2	2	NA	3491	0.00
DNA/hAT	hAT-2_GR	5255	16	7	NA	10274	0.01
DNA/hAT	hAT-3_TC	5162	3	2	NA	1582	0.00
DNA/hAT	hAT-4_PTr	3687	4	4	NA	6241	0.01
DNA/hAT	hAT-4_TC	4738	1	1	NA	255	0.00
DNA/hAT	hAT-N2_TC	580	2	1	NA	456	0.00
###DNA/hAT	All_elements	NA	88	52	NA	47335	0.0475

######Type:DNA	All_elements	NA	1469	903	NA	1442683	1.4485

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	1186CL0088	No_ref_available	1	1	0	95	0.00
LTR	1330CL0153	No_ref_available	1	1	0	95	0.00
LTR	285CL0153	No_ref_available	2	1	0	95	0.00
LTR	2941CL0088	No_ref_available	1	1	0	95	0.00
LTR	2980CL0088	No_ref_available	1	1	0	95	0.00
LTR	584CL0153	No_ref_available	1	1	0	94	0.00
LTR	667CL0088	No_ref_available	2	1	0	95	0.00
LTR	688CL0088	No_ref_available	1	1	0	95	0.00
###LTR	All_elements	NA	10	8	0	759	0.0008

LTR/Copia	2978CL0089	No_ref_available	2	1	0	409	0.00
LTR/Copia	3069CL0089	No_ref_available	2	2	0	190	0.00
LTR/Copia	3619CL0089	No_ref_available	1	1	0	95	0.00
LTR/Copia	3681CL0089	No_ref_available	1	1	0	95	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	8	8	0	6890	0.01
LTR/Copia	ATCOPIA59_I-int	No_ref_available	1	1	0	68	0.00
LTR/Copia	COP12_I_MT-int	No_ref_available	2	1	0	727	0.00
LTR/Copia	COP8_I_MT-int	No_ref_available	3	2	0	670	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	3	2	0	1456	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	15	6	0	18473	0.02
LTR/Copia	Copia-11_RC-I	No_ref_available	2	2	0	162	0.00
LTR/Copia	Copia-12_MN-I	No_ref_available	2	1	0	203	0.00
LTR/Copia	Copia-12_TC-I	No_ref_available	24	12	0	15131	0.02
LTR/Copia	Copia-13_ECa-I	No_ref_available	3	2	0	861	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	2	2	0	163	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	5	3	0	7858	0.01
LTR/Copia	Copia-14_GR-I	631	91	51	21	101272	0.10
LTR/Copia	Copia-15_ECa-I	No_ref_available	1	1	0	97	0.00
LTR/Copia	Copia-15_GR-I	4857	290	232	9	768322	0.77
LTR/Copia	Copia-15_TC-I	No_ref_available	1	1	0	956	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	17	6	0	18261	0.02
LTR/Copia	Copia-16_PAb-I	No_ref_available	1	1	0	63	0.00
LTR/Copia	Copia-17_CP-I	No_ref_available	2	1	0	3708	0.00
LTR/Copia	Copia-17_GR-I	No_ref_available	1	1	0	684	0.00
LTR/Copia	Copia-17_MN-I	No_ref_available	1	1	0	225	0.00
LTR/Copia	Copia-17_PPe-I	No_ref_available	1	1	0	439	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	12	5	0	8521	0.01
LTR/Copia	Copia-18_GR-I	4986	1	1	0	61	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	5	4	0	11423	0.01
LTR/Copia	Copia-19_PTri-I	No_ref_available	1	1	0	354	0.00
LTR/Copia	Copia-19_TC-I	No_ref_available	3	1	0	3184	0.00
LTR/Copia	Copia-1_ECa-I	No_ref_available	1	1	0	129	0.00
LTR/Copia	Copia-1_GR-I	1489	218	98	79	201676	0.20
LTR/Copia	Copia-20_GM-I	No_ref_available	1	1	0	101	0.00
LTR/Copia	Copia-20_GR-I	No_ref_available	2	1	0	4101	0.00
LTR/Copia	Copia-21_MN-I	No_ref_available	1	1	0	70	0.00
LTR/Copia	Copia-22_ECa-I	No_ref_available	2	1	0	2938	0.00
LTR/Copia	Copia-23_ECa-I	No_ref_available	4	3	0	3787	0.00
LTR/Copia	Copia-23_GR-I	485	205	76	16	143621	0.14
LTR/Copia	Copia-24_GR-I	1164	121	64	19	105021	0.11
LTR/Copia	Copia-24_PX-I	No_ref_available	2	2	0	4715	0.00
LTR/Copia	Copia-24_TC-I	No_ref_available	1	1	0	230	0.00
LTR/Copia	Copia-25_GR-I	No_ref_available	6	4	0	10859	0.01
LTR/Copia	Copia-25_RC-I	No_ref_available	8	5	0	1629	0.00
LTR/Copia	Copia-26_GR-I	No_ref_available	6	2	0	3679	0.00
LTR/Copia	Copia-27_ECa-I	No_ref_available	8	5	0	9136	0.01
LTR/Copia	Copia-27_GR-I	No_ref_available	26	14	0	37561	0.04
LTR/Copia	Copia-27_MN-I	No_ref_available	1	1	0	481	0.00
LTR/Copia	Copia-28_GR-I	No_ref_available	7	3	0	5407	0.01
LTR/Copia	Copia-30_ATr-I	No_ref_available	1	1	0	155	0.00
LTR/Copia	Copia-30_GR-I	No_ref_available	8	7	0	15523	0.02
LTR/Copia	Copia-30_MN-I	No_ref_available	4	3	0	3448	0.00
LTR/Copia	Copia-31_GR-I	No_ref_available	7	4	0	8796	0.01
LTR/Copia	Copia-32-I_VV	No_ref_available	2	1	0	2158	0.00
LTR/Copia	Copia-32_AIp-I	No_ref_available	1	1	0	69	0.00
LTR/Copia	Copia-32_GR-I	5011	13	9	1	27641	0.03
LTR/Copia	Copia-33_GR-I	569	31	17	4	37187	0.04
LTR/Copia	Copia-33_RC-I	No_ref_available	1	1	0	3176	0.00
LTR/Copia	Copia-34_GR-I	No_ref_available	16	15	0	53835	0.05
LTR/Copia	Copia-34_NN-I	No_ref_available	2	1	0	344	0.00
LTR/Copia	Copia-34_RC-I	No_ref_available	10	10	0	409	0.00
LTR/Copia	Copia-35_GR-I	5362	7	6	0	9315	0.01
LTR/Copia	Copia-35_OS-I	No_ref_available	2	1	0	1341	0.00
LTR/Copia	Copia-36_GR-I	No_ref_available	25	17	0	47612	0.05
LTR/Copia	Copia-36_MN-I	No_ref_available	3	2	0	3828	0.00
LTR/Copia	Copia-36_Sit-I	No_ref_available	1	1	0	82	0.00
LTR/Copia	Copia-37_GR-I	4782	32	16	0	38515	0.04
LTR/Copia	Copia-37_JC-I	No_ref_available	6	4	0	1365	0.00
LTR/Copia	Copia-38_JC-I	No_ref_available	2	1	0	1200	0.00
LTR/Copia	Copia-38_MN-I	No_ref_available	2	1	0	3146	0.00
LTR/Copia	Copia-38_TC-I	No_ref_available	1	1	0	61	0.00
LTR/Copia	Copia-39_GR-I	No_ref_available	20	12	0	22842	0.02
LTR/Copia	Copia-39_MN-I	No_ref_available	24	11	0	32735	0.03
LTR/Copia	Copia-39_RC-I	No_ref_available	3	2	0	954	0.00
LTR/Copia	Copia-39_VV-I	No_ref_available	2	2	0	581	0.00
LTR/Copia	Copia-3_GR-I	No_ref_available	1	1	0	171	0.00
LTR/Copia	Copia-3_Pru-I	No_ref_available	5	2	0	1331	0.00
LTR/Copia	Copia-40_GR-I	No_ref_available	2	2	0	590	0.00
LTR/Copia	Copia-41_GR-I	4991	76	58	0	156659	0.16
LTR/Copia	Copia-41_VV-I	No_ref_available	1	1	0	298	0.00
LTR/Copia	Copia-42_GR-I	No_ref_available	20	19	0	54025	0.05
LTR/Copia	Copia-42_VV-I	No_ref_available	1	1	0	405	0.00
LTR/Copia	Copia-44_GR-I	No_ref_available	7	3	0	9457	0.01
LTR/Copia	Copia-45_GR-I	5324	114	42	0	138826	0.14
LTR/Copia	Copia-45_JC-I	No_ref_available	4	2	0	742	0.00
LTR/Copia	Copia-45_MN-I	No_ref_available	1	1	0	1382	0.00
LTR/Copia	Copia-46_GR-I	No_ref_available	8	7	0	30670	0.03
LTR/Copia	Copia-46_VV-I	No_ref_available	1	1	0	718	0.00
LTR/Copia	Copia-47_GR-I	5076	243	132	4	174979	0.18
