Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	161	96	NA	305880	0.31
###DNA/EnSpmCACTA	All_elements	NA	161	96	NA	305880	0.3118

DNA/L1	L1-1_GR	5704	87	41	NA	109958	0.11
###DNA/L1	All_elements	NA	87	41	NA	109958	0.1121

DNA/MarinerTc1	Mariner-1_RC	2222	9	5	NA	5945	0.01
###DNA/MarinerTc1	All_elements	NA	9	5	NA	5945	0.0061

DNA/MuDR	MuDR-1_GR	7211	50	41	NA	32809	0.03
DNA/MuDR	MuDR-2_GR	6708	104	82	NA	85519	0.09
DNA/MuDR	MuDR-3_GR	4333	55	55	NA	12517	0.01
DNA/MuDR	MuDR-3_TC	6623	5	3	NA	756	0.00
DNA/MuDR	MuDR-4_GR	7191	285	133	NA	318885	0.33
DNA/MuDR	MuDR-5_GR	7783	185	95	NA	162927	0.17
###DNA/MuDR	All_elements	NA	684	409	NA	613413	0.6254

DNA/hAT	HAT-5_Mad	3641	2	1	NA	2208	0.00
DNA/hAT	ZhAT14_ZM	3349	4	3	NA	4259	0.00
DNA/hAT	hAT-1_GR	4719	16	9	NA	11045	0.01
DNA/hAT	hAT-1_TC	3200	1	1	NA	1976	0.00
DNA/hAT	hAT-2_GR	5255	32	19	NA	18391	0.02
DNA/hAT	hAT-3_TC	5162	4	1	NA	2079	0.00
DNA/hAT	hAT-4_PTr	3687	4	4	NA	6795	0.01
###DNA/hAT	All_elements	NA	63	38	NA	46753	0.0477

DNA/hAT-Tip100	ZhAT14_ZM	3349	4	2	NA	4003	0.00
###DNA/hAT-Tip100	All_elements	NA	4	2	NA	4003	0.0041

######Type:DNA	All_elements	NA	1008	591	NA	1085952	1.1071

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Copia	1783CL0144	No_ref_available	1	1	0	95	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	4	4	0	4921	0.01
LTR/Copia	COP18_I_MT-int	No_ref_available	2	1	0	410	0.00
LTR/Copia	COPI1_I-int	No_ref_available	2	1	0	181	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	1	1	0	80	0.00
LTR/Copia	Copia-10_JC-I	No_ref_available	2	2	0	2648	0.00
LTR/Copia	Copia-11_CP-I	No_ref_available	1	1	0	260	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	9	4	0	9836	0.01
LTR/Copia	Copia-11_RC-I	No_ref_available	1	1	0	51	0.00
LTR/Copia	Copia-12_JC-I	No_ref_available	5	3	0	5087	0.01
LTR/Copia	Copia-12_TC-I	No_ref_available	19	14	0	23948	0.02
LTR/Copia	Copia-13_PPe-I	No_ref_available	1	1	0	395	0.00
LTR/Copia	Copia-13_SB-I	No_ref_available	1	1	0	51	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	11	10	0	1244	0.00
LTR/Copia	Copia-14_GR-I	631	121	67	21	124165	0.13
LTR/Copia	Copia-15_ECa-I	No_ref_available	4	3	0	340	0.00
LTR/Copia	Copia-15_GR-I	371	247	191	9	615286	0.63
LTR/Copia	Copia-15_TC-I	No_ref_available	4	2	0	4081	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	18	7	0	15862	0.02
LTR/Copia	Copia-17_CP-I	No_ref_available	1	1	0	4014	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	6	4	0	5783	0.01
