Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-12_OS	12603	1	1	NA	44	0.00
DNA/EnSpmCACTA	EnSpm-16_SBi	15883	1	1	NA	52	0.00
DNA/EnSpmCACTA	EnSpm-1_GR	8807	231	162	NA	424822	0.56
DNA/EnSpmCACTA	EnSpm-1_JC	9332	1	1	NA	495	0.00
DNA/EnSpmCACTA	EnSpm-2_NS	14652	2	2	NA	93	0.00
DNA/EnSpmCACTA	EnSpm-34_SBi	12619	6	6	NA	881	0.00
DNA/EnSpmCACTA	EnSpm-5_CCri	19651	1	1	NA	415	0.00
###DNA/EnSpmCACTA	All_elements	NA	243	174	NA	426802	0.5580

DNA/L1	L1-1_GR	5704	108	45	NA	111765	0.15
DNA/L1	L1-26_NN	5500	3	2	NA	2235	0.00
###DNA/L1	All_elements	NA	111	47	NA	114000	0.1491

DNA/MarinerTc1	Mariner-1_RC	2222	3	2	NA	2052	0.00
###DNA/MarinerTc1	All_elements	NA	3	2	NA	2052	0.0027

DNA/MuDR	MuDR-1_GR	7211	48	40	NA	50422	0.07
DNA/MuDR	MuDR-2_GR	6708	150	118	NA	120756	0.16
DNA/MuDR	MuDR-3_GR	4333	71	70	NA	8834	0.01
DNA/MuDR	MuDR-4_GR	7191	231	118	NA	258261	0.34
DNA/MuDR	MuDR-5_GR	7783	224	148	NA	159028	0.21
DNA/MuDR	MuDR-6_OS	7633	2	1	NA	751	0.00
DNA/MuDR	MuDR-N113_OS	1529	2	2	NA	1090	0.00
DNA/MuDR	MuDR-N78C_OS	1668	1	1	NA	245	0.00
###DNA/MuDR	All_elements	NA	729	498	NA	599387	0.7837

DNA/PIF-Harbinger	MtPH-A5-Ia	5965	3	1	NA	809	0.00
###DNA/PIF-Harbinger	All_elements	NA	3	1	NA	809	0.0011

DNA/hAT	ZhAT14_ZM	3349	3	2	NA	4482	0.01
DNA/hAT	hAT-1_GR	4719	23	12	NA	6715	0.01
DNA/hAT	hAT-1_TC	3200	3	2	NA	2503	0.00
DNA/hAT	hAT-2_GR	5255	55	41	NA	16089	0.02
DNA/hAT	hAT-3_TC	5162	3	3	NA	3859	0.01
DNA/hAT	hAT-4_PTr	3687	1	1	NA	172	0.00
DNA/hAT	hAT-4_TC	4738	4	4	NA	1612	0.00
DNA/hAT	hAT-6_SBi	3445	4	3	NA	3088	0.00
###DNA/hAT	All_elements	NA	96	68	NA	38520	0.0504

######Type:DNA	All_elements	NA	1185	790	NA	1181570	1.5449

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	10227CL0030	No_ref_available	2	2	0	184	0.00
LTR	1807CL0100	No_ref_available	1	1	0	95	0.00
LTR	2387CL0100	No_ref_available	1	1	0	95	0.00
LTR	8513CL0030	No_ref_available	1	1	0	95	0.00
LTR	8619CL0030	No_ref_available	2	2	0	162	0.00
###LTR	All_elements	NA	7	7	0	631	0.0008

LTR/Copia	3627CL0089	No_ref_available	2	2	0	471	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	2	2	0	1814	0.00
LTR/Copia	ATCOPIA59_I-int	No_ref_available	1	1	0	61	0.00
LTR/Copia	COPI1_I-int	No_ref_available	1	1	0	132	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	2	2	0	731	0.00
