Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	138	96	NA	286498	0.30
###DNA/EnSpmCACTA	All_elements	NA	138	96	NA	286498	0.2988

DNA/L1	L1-1_GR	5704	97	38	NA	95829	0.10
###DNA/L1	All_elements	NA	97	38	NA	95829	0.0999

DNA/MarinerTc1	Mariner-1_RC	2222	7	3	NA	5437	0.01
###DNA/MarinerTc1	All_elements	NA	7	3	NA	5437	0.0057

DNA/MuDR	MuDR-1_ATr	4850	1	1	NA	1715	0.00
DNA/MuDR	MuDR-1_GR	7211	50	43	NA	35682	0.04
DNA/MuDR	MuDR-2_GR	6708	167	126	NA	124000	0.13
DNA/MuDR	MuDR-3_GR	4333	91	87	NA	16715	0.02
DNA/MuDR	MuDR-4_GR	7191	290	145	NA	319538	0.33
DNA/MuDR	MuDR-5_GR	7783	233	148	NA	177615	0.19
DNA/MuDR	MuDR-64_OS	5513	2	2	NA	852	0.00
###DNA/MuDR	All_elements	NA	834	552	NA	676117	0.7052

DNA/hAT	ZhAT14_ZM	3349	3	2	NA	2209	0.00
DNA/hAT	hAT-1_GR	4719	63	38	NA	29883	0.03
DNA/hAT	hAT-1_TC	3200	3	3	NA	4257	0.00
DNA/hAT	hAT-2_GR	5255	78	54	NA	33593	0.04
DNA/hAT	hAT-4_PTr	3687	6	6	NA	9520	0.01
DNA/hAT	hAT-5_TC	4797	2	1	NA	499	0.00
DNA/hAT	hAT-6_SBi	3445	1	1	NA	50	0.00
###DNA/hAT	All_elements	NA	156	105	NA	80011	0.0835

######Type:DNA	All_elements	NA	1232	794	NA	1143892	1.1931

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	1030CL0160	No_ref_available	1	1	0	95	0.00
###LTR	All_elements	NA	1	1	0	95	0.0001

LTR/Copia	ATCOPIA28_I-int	No_ref_available	4	4	0	5130	0.01
LTR/Copia	ATCOPIA49_I-int	No_ref_available	1	1	0	359	0.00
LTR/Copia	COP14_I_MT-int	No_ref_available	1	1	0	49	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	5	3	0	1016	0.00
LTR/Copia	COP8_I_MT-int	No_ref_available	1	1	0	54	0.00
LTR/Copia	COPI1_I-int	No_ref_available	2	1	0	134	0.00
LTR/Copia	COPI2_I-int	No_ref_available	1	1	0	89	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	1	1	0	325	0.00
LTR/Copia	Copia-101_Mad-I	No_ref_available	1	1	0	326	0.00
LTR/Copia	Copia-11_CP-I	No_ref_available	3	2	0	3883	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	5	2	0	7768	0.01
LTR/Copia	Copia-12_JC-I	No_ref_available	5	2	0	5677	0.01
LTR/Copia	Copia-12_TC-I	No_ref_available	29	18	0	20589	0.02
LTR/Copia	Copia-13_ATr-I	No_ref_available	1	1	0	349	0.00
LTR/Copia	Copia-13_ECa-I	No_ref_available	1	1	0	199	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	1	1	0	120	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	6	3	0	10133	0.01
LTR/Copia	Copia-14_GR-I	5729	70	42	7	82014	0.09
LTR/Copia	Copia-14_NN-I	No_ref_available	2	1	0	2831	0.00
LTR/Copia	Copia-15_ECa-I	No_ref_available	4	4	0	394	0.00
LTR/Copia	Copia-15_GR-I	371	284	235	11	724217	0.76
LTR/Copia	Copia-15_TC-I	No_ref_available	1	1	0	539	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	23	11	0	29608	0.03
LTR/Copia	Copia-17_CP-I	No_ref_available	2	2	0	5968	0.01
LTR/Copia	Copia-17_GR-I	No_ref_available	2	1	0	1014	0.00
LTR/Copia	Copia-17_RC-I	No_ref_available	2	1	0	177	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	5	4	0	3847	0.00
LTR/Copia	Copia-18_GR-I	4986	3	2	0	2915	0.00
LTR/Copia	Copia-18_PPe-I	No_ref_available	2	1	0	1586	0.00
LTR/Copia	Copia-18_PTri-I	No_ref_available	2	1	0	3353	0.00
LTR/Copia	Copia-19_AIp-I	No_ref_available	1	1	0	88	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	1	1	0	1174	0.00
LTR/Copia	Copia-19_TC-I	No_ref_available	6	4	0	6023	0.01
LTR/Copia	Copia-1_GR-I	1489	350	167	122	322004	0.34
LTR/Copia	Copia-1_NN-I	No_ref_available	2	1	0	2720	0.00
LTR/Copia	Copia-20_GM-I	No_ref_available	1	1	0	57	0.00
LTR/Copia	Copia-20_GR-I	No_ref_available	2	1	0	742	0.00
LTR/Copia	Copia-21_GR-I	No_ref_available	5	4	0	13313	0.01
LTR/Copia	Copia-21_MN-I	No_ref_available	3	2	0	4265	0.00
LTR/Copia	Copia-21_ST-I	No_ref_available	1	1	0	979	0.00
LTR/Copia	Copia-22_ECa-I	No_ref_available	6	3	0	4657	0.00
LTR/Copia	Copia-22_GR-I	No_ref_available	12	4	0	12410	0.01
LTR/Copia	Copia-23_ECa-I	No_ref_available	2	2	0	8040	0.01
LTR/Copia	Copia-23_GR-I	485	300	103	21	179614	0.19
LTR/Copia	Copia-24_GR-I	9443	145	82	22	106577	0.11
LTR/Copia	Copia-24_PX-I	No_ref_available	3	1	0	4119	0.00
LTR/Copia	Copia-24_TC-I	No_ref_available	2	1	0	323	0.00
LTR/Copia	Copia-25_GR-I	No_ref_available	5	3	0	8939	0.01
LTR/Copia	Copia-26_AIp-I	No_ref_available	2	1	0	815	0.00
LTR/Copia	Copia-26_ST-I	No_ref_available	1	1	0	1671	0.00
LTR/Copia	Copia-27_ECa-I	No_ref_available	6	4	0	10313	0.01
LTR/Copia	Copia-27_GR-I	No_ref_available	5	3	0	8869	0.01
LTR/Copia	Copia-28_GR-I	No_ref_available	1	1	0	4110	0.00
LTR/Copia	Copia-29_AIp-I	No_ref_available	6	4	0	3463	0.00
LTR/Copia	Copia-29_GR-I	No_ref_available	1	1	0	135	0.00
LTR/Copia	Copia-2_GR-I	No_ref_available	3	3	0	7660	0.01
LTR/Copia	Copia-30_GR-I	No_ref_available	13	9	0	23077	0.02
LTR/Copia	Copia-31_AIp-I	No_ref_available	1	1	0	170	0.00
LTR/Copia	Copia-31_RC-I	No_ref_available	1	1	0	57	0.00
LTR/Copia	Copia-32_GR-I	5011	12	9	0	27591	0.03
LTR/Copia	Copia-32_TC-I	No_ref_available	1	1	0	41	0.00
LTR/Copia	Copia-33_GR-I	5237	16	5	0	20648	0.02
LTR/Copia	Copia-33_LU-I	No_ref_available	2	1	0	181	0.00
LTR/Copia	Copia-33_RC-I	No_ref_available	3	1	0	1002	0.00
LTR/Copia	Copia-34_GR-I	No_ref_available	5	5	0	12316	0.01
LTR/Copia	Copia-34_NN-I	No_ref_available	8	2	0	3286	0.00
LTR/Copia	Copia-34_RC-I	No_ref_available	1	1	0	47	0.00
LTR/Copia	Copia-35_GR-I	5362	29	20	1	46362	0.05
LTR/Copia	Copia-35_JC-I	No_ref_available	1	1	0	69	0.00
LTR/Copia	Copia-36_GR-I	No_ref_available	9	5	0	13957	0.01
LTR/Copia	Copia-36_Sit-I	No_ref_available	3	2	0	792	0.00
LTR/Copia	Copia-37_GR-I	4782	22	10	0	35227	0.04
LTR/Copia	Copia-37_JC-I	No_ref_available	5	5	0	1419	0.00
LTR/Copia	Copia-38_MN-I	No_ref_available	4	2	0	3683	0.00
LTR/Copia	Copia-38_VV-I	No_ref_available	3	2	0	3682	0.00
LTR/Copia	Copia-39_GR-I	No_ref_available	18	10	0	18465	0.02
LTR/Copia	Copia-39_MN-I	No_ref_available	16	5	0	19825	0.02
LTR/Copia	Copia-3_GR-I	No_ref_available	3	2	0	573	0.00
LTR/Copia	Copia-40_GR-I	No_ref_available	4	3	0	4064	0.00
LTR/Copia	Copia-41_GR-I	4991	28	22	0	58054	0.06
LTR/Copia	Copia-41_RC-I	No_ref_available	1	1	0	318	0.00
LTR/Copia	Copia-42_ATr-I	No_ref_available	3	2	0	1694	0.00
