Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	212	141	NA	373469	0.39
DNA/EnSpmCACTA	EnSpm-9_STu	14210	1	1	NA	326	0.00
DNA/EnSpmCACTA	EnSpm2_PTr	12422	2	2	NA	306	0.00
###DNA/EnSpmCACTA	All_elements	NA	215	144	NA	374101	0.3934

DNA/L1	L1-1_GR	5704	119	53	NA	124670	0.13
DNA/L1	L1-6B_JC	4181	1	1	NA	777	0.00
###DNA/L1	All_elements	NA	120	54	NA	125447	0.1319

DNA/MarinerTc1	Mariner-1_RC	2134	8	5	NA	5427	0.01
###DNA/MarinerTc1	All_elements	NA	8	5	NA	5427	0.0057

DNA/MuDR	MuDR-1_GR	7211	81	63	NA	57742	0.06
DNA/MuDR	MuDR-2_GR	6708	129	100	NA	125152	0.13
DNA/MuDR	MuDR-3_GR	4333	70	66	NA	15829	0.02
DNA/MuDR	MuDR-4_GR	7191	300	134	NA	320486	0.34
DNA/MuDR	MuDR-5_GR	7783	193	119	NA	193291	0.20
DNA/MuDR	MuDR-64_OS	5513	1	1	NA	610	0.00
DNA/MuDR	MuDR-6_OS	7633	2	1	NA	684	0.00
DNA/MuDR	MuDR-N78C_OS	1668	1	1	NA	275	0.00
###DNA/MuDR	All_elements	NA	777	485	NA	714069	0.7510

DNA/hAT	ZhAT14_ZM	3349	4	2	NA	3079	0.00
DNA/hAT	hAT-1_GR	4719	53	30	NA	29974	0.03
DNA/hAT	hAT-1_TC	3200	2	2	NA	4154	0.00
DNA/hAT	hAT-2_GR	5255	41	27	NA	14072	0.01
DNA/hAT	hAT-3_TC	5162	3	2	NA	361	0.00
DNA/hAT	hAT-4_GM	3174	1	1	NA	2299	0.00
DNA/hAT	hAT-4_PTr	3687	2	2	NA	2561	0.00
DNA/hAT	hAT-6_SBi	3445	3	2	NA	1707	0.00
###DNA/hAT	All_elements	NA	109	68	NA	58207	0.0612

DNA/hAT-Tip100	ZhAT14_ZM	3349	2	1	NA	1750	0.00
###DNA/hAT-Tip100	All_elements	NA	2	1	NA	1750	0.0018

######Type:DNA	All_elements	NA	1231	757	NA	1279001	1.3451

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	1059CL0100	No_ref_available	1	1	0	95	0.00
LTR	1454CL0100	No_ref_available	1	1	0	95	0.00
LTR	1957CL0124	No_ref_available	1	1	0	95	0.00
LTR	2216CL0124	No_ref_available	1	1	0	95	0.00
LTR	2383CL0100	No_ref_available	1	1	0	95	0.00
LTR	2904CL0100	No_ref_available	1	1	0	95	0.00
LTR	4493CL0030	No_ref_available	1	1	0	95	0.00
###LTR	All_elements	NA	7	7	0	665	0.0007

LTR/Copia	1560CL0144	No_ref_available	1	1	0	95	0.00
LTR/Copia	222CL0217	No_ref_available	1	1	0	95	0.00
LTR/Copia	228CL0144	No_ref_available	1	1	0	95	0.00
LTR/Copia	265CL0217	No_ref_available	1	1	0	95	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	3	3	0	1878	0.00
LTR/Copia	ATCOPIA29_I-int	No_ref_available	1	1	0	4573	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	3	2	0	382	0.00
LTR/Copia	COP2_I_MT-int	No_ref_available	2	2	0	183	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	5	3	0	1313	0.00
LTR/Copia	Copia-101_GM-I	No_ref_available	2	2	0	761	0.00
LTR/Copia	Copia-10_JC-I	No_ref_available	3	2	0	2156	0.00
LTR/Copia	Copia-11_AIp-I	No_ref_available	1	1	0	351	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	7	4	0	11206	0.01
LTR/Copia	Copia-11_RC-I	No_ref_available	3	2	0	3560	0.00
LTR/Copia	Copia-12_JC-I	No_ref_available	6	2	0	6289	0.01
LTR/Copia	Copia-12_TC-I	No_ref_available	11	8	0	8463	0.01
LTR/Copia	Copia-13_AIp-I	No_ref_available	1	1	0	143	0.00
LTR/Copia	Copia-13_Cia-I	No_ref_available	1	1	0	273	0.00
LTR/Copia	Copia-13_MN-I	No_ref_available	1	1	0	112	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	6	6	0	661	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	3	1	0	3670	0.00
LTR/Copia	Copia-14_GR-I	5729	95	55	15	112933	0.12
LTR/Copia	Copia-14_NN-I	No_ref_available	2	1	0	3642	0.00
LTR/Copia	Copia-15_CP-I	No_ref_available	2	1	0	766	0.00
LTR/Copia	Copia-15_ECa-I	No_ref_available	3	3	0	298	0.00
LTR/Copia	Copia-15_GR-I	371	292	239	12	784193	0.82
LTR/Copia	Copia-15_JC-I	No_ref_available	8	5	0	8469	0.01
LTR/Copia	Copia-15_PPe-I	No_ref_available	1	1	0	47	0.00
LTR/Copia	Copia-15_TC-I	No_ref_available	1	1	0	400	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	16	5	0	17265	0.02
LTR/Copia	Copia-16_Mad-I	No_ref_available	2	1	0	1167	0.00
LTR/Copia	Copia-16_ST-I	No_ref_available	9	3	0	8947	0.01
LTR/Copia	Copia-17_CP-I	No_ref_available	6	5	0	16172	0.02
LTR/Copia	Copia-17_GR-I	No_ref_available	5	2	0	3122	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	5	3	0	6112	0.01
LTR/Copia	Copia-18_BD-I	No_ref_available	2	2	0	448	0.00
LTR/Copia	Copia-18_GR-I	4986	3	2	1	488	0.00
