Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	136	89	NA	293799	0.32
DNA/EnSpmCACTA	EnSpm-2_GM	17080	1	1	NA	248	0.00
###DNA/EnSpmCACTA	All_elements	NA	137	90	NA	294047	0.3221

DNA/L1	L1-1_GR	5704	104	48	NA	128920	0.14
###DNA/L1	All_elements	NA	104	48	NA	128920	0.1412

DNA/MarinerTc1	Mariner-1_RC	2222	10	5	NA	9984	0.01
###DNA/MarinerTc1	All_elements	NA	10	5	NA	9984	0.0109

DNA/MuDR	MuDR-1_GR	7191	37	31	NA	25320	0.03
DNA/MuDR	MuDR-2_GR	6708	169	124	NA	141413	0.15
DNA/MuDR	MuDR-3_GR	4333	95	93	NA	11981	0.01
DNA/MuDR	MuDR-4_GR	7191	202	106	NA	207730	0.23
DNA/MuDR	MuDR-5_GR	7783	300	169	NA	225570	0.25
DNA/MuDR	MuDR-64_OS	5513	3	3	NA	1288	0.00
DNA/MuDR	MuDR-8_Mad	6240	3	1	NA	286	0.00
###DNA/MuDR	All_elements	NA	809	527	NA	613588	0.6720

DNA/hAT	hAT-1_GR	4719	37	18	NA	23469	0.03
DNA/hAT	hAT-1_TC	3200	1	1	NA	1376	0.00
DNA/hAT	hAT-2_GR	5255	42	23	NA	22468	0.02
DNA/hAT	hAT-2_TC	5373	1	1	NA	1643	0.00
DNA/hAT	hAT-3_TC	5162	6	4	NA	3707	0.00
DNA/hAT	hAT-4_PTr	3687	1	1	NA	863	0.00
DNA/hAT	hAT-6_SBi	3445	1	1	NA	785	0.00
###DNA/hAT	All_elements	NA	89	49	NA	54311	0.0595

DNA/hAT-Tip100	ZhAT14_ZM	3349	2	1	NA	1527	0.00
###DNA/hAT-Tip100	All_elements	NA	2	1	NA	1527	0.0017

######Type:DNA	All_elements	NA	1151	720	NA	1102377	1.2074

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	543CL0147	No_ref_available	1	1	0	95	0.00
###LTR	All_elements	NA	1	1	0	95	0.0001

LTR/Copia	ATCOPIA28_I-int	No_ref_available	8	5	0	8708	0.01
LTR/Copia	ATCOPIA59_I-int	No_ref_available	1	1	0	77	0.00
LTR/Copia	ATCOPIA76_I-int	No_ref_available	1	1	0	156	0.00
LTR/Copia	ATCOPIA78_I-int	No_ref_available	1	1	0	97	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	9	4	0	2790	0.00
LTR/Copia	COP2_I_MT-int	No_ref_available	4	1	0	545	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	1	1	0	232	0.00
LTR/Copia	Copia-101_Mad-I	No_ref_available	3	2	0	268	0.00
LTR/Copia	Copia-11_CP-I	No_ref_available	2	2	0	1048	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	1	1	0	367	0.00
LTR/Copia	Copia-11_RC-I	No_ref_available	1	1	0	80	0.00
LTR/Copia	Copia-12_TC-I	No_ref_available	16	8	0	8556	0.01
LTR/Copia	Copia-13_CP-I	No_ref_available	1	1	0	475	0.00
LTR/Copia	Copia-13_ECa-I	No_ref_available	4	2	0	1745	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	4	4	0	921	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	3	2	0	8014	0.01
LTR/Copia	Copia-14_GR-I	631	76	44	13	84572	0.09
LTR/Copia	Copia-15_ECa-I	No_ref_available	3	3	0	285	0.00
LTR/Copia	Copia-15_GR-I	371	211	170	3	579312	0.63
LTR/Copia	Copia-15_TC-I	No_ref_available	2	2	0	1264	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	17	8	0	19143	0.02
LTR/Copia	Copia-16_ST-I	No_ref_available	2	1	0	3851	0.00
LTR/Copia	Copia-17_CP-I	No_ref_available	2	1	0	1112	0.00
LTR/Copia	Copia-17_GR-I	No_ref_available	1	1	0	286	0.00
LTR/Copia	Copia-17_MN-I	No_ref_available	1	1	0	198	0.00
LTR/Copia	Copia-17_Mad-I	No_ref_available	1	1	0	517	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	7	3	0	4722	0.01
LTR/Copia	Copia-18_PPe-I	No_ref_available	3	1	0	777	0.00
LTR/Copia	Copia-18_ST-I	No_ref_available	1	1	0	89	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	1	1	0	3710	0.00
LTR/Copia	Copia-19_PTri-I	No_ref_available	1	1	0	332	0.00
LTR/Copia	Copia-19_TC-I	No_ref_available	3	2	0	3841	0.00
LTR/Copia	Copia-1_BDi-I	No_ref_available	1	1	0	81	0.00
LTR/Copia	Copia-1_GR-I	1489	280	134	94	267415	0.29
LTR/Copia	Copia-20_GM-I	No_ref_available	1	1	0	82	0.00
LTR/Copia	Copia-20_GR-I	No_ref_available	3	1	0	2216	0.00
LTR/Copia	Copia-20_MN-I	No_ref_available	1	1	0	208	0.00
LTR/Copia	Copia-20_NN-I	No_ref_available	2	2	0	128	0.00
LTR/Copia	Copia-20_TC-I	8705	1	1	0	1418	0.00
LTR/Copia	Copia-21_GR-I	No_ref_available	7	5	0	15502	0.02
LTR/Copia	Copia-21_ST-I	No_ref_available	3	1	0	2558	0.00
LTR/Copia	Copia-22_ECa-I	No_ref_available	3	2	0	1767	0.00
LTR/Copia	Copia-22_GR-I	No_ref_available	3	1	0	2803	0.00
LTR/Copia	Copia-23_ECa-I	No_ref_available	1	1	0	4107	0.00
LTR/Copia	Copia-23_GR-I	485	277	110	24	169503	0.19
LTR/Copia	Copia-24_GR-I	9443	69	38	11	60866	0.07
LTR/Copia	Copia-24_PX-I	No_ref_available	1	1	0	44	0.00
LTR/Copia	Copia-25_GR-I	No_ref_available	9	7	0	13140	0.01
LTR/Copia	Copia-25_MN-I	No_ref_available	1	1	0	133	0.00
LTR/Copia	Copia-25_RC-I	No_ref_available	8	5	0	7244	0.01
LTR/Copia	Copia-27_ECa-I	No_ref_available	1	1	0	4070	0.00
LTR/Copia	Copia-27_GM-I	No_ref_available	3	1	0	604	0.00
LTR/Copia	Copia-27_GR-I	No_ref_available	5	4	0	4450	0.00
LTR/Copia	Copia-28_GR-I	No_ref_available	7	3	0	7007	0.01
LTR/Copia	Copia-28_NN-I	No_ref_available	1	1	0	293	0.00
LTR/Copia	Copia-29_AIp-I	No_ref_available	1	1	0	1552	0.00
LTR/Copia	Copia-29_MN-I	No_ref_available	4	2	0	1500	0.00
LTR/Copia	Copia-2_GR-I	No_ref_available	1	1	0	4282	0.00
LTR/Copia	Copia-2_PTri-I	No_ref_available	1	1	0	45	0.00
LTR/Copia	Copia-30_AIp-I	No_ref_available	1	1	0	4015	0.00
LTR/Copia	Copia-30_GR-I	No_ref_available	15	9	0	26147	0.03
LTR/Copia	Copia-30_TC-I	No_ref_available	5	5	0	3308	0.00
LTR/Copia	Copia-31_JC-I	No_ref_available	2	2	0	85	0.00
LTR/Copia	Copia-31_RC-I	No_ref_available	4	4	0	286	0.00
