Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	102	63	NA	182075	0.26
DNA/EnSpmCACTA	EnSpm-34_SBi	12619	1	1	NA	190	0.00
DNA/EnSpmCACTA	EnSpm-N3_NS	6202	5	1	NA	783	0.00
###DNA/EnSpmCACTA	All_elements	NA	108	65	NA	183048	0.2593

DNA/Harbinger	HARB-5_Mad	5480	4	1	NA	1254	0.00
DNA/Harbinger	MtPH-A5-Ia	5965	4	1	NA	427	0.00
###DNA/Harbinger	All_elements	NA	8	2	NA	1681	0.0024

DNA/L1	L1-1_GR	5704	75	36	NA	88930	0.13
###DNA/L1	All_elements	NA	75	36	NA	88930	0.1260

DNA/MarinerTc1	Mariner-1_RC	2222	6	4	NA	4042	0.01
###DNA/MarinerTc1	All_elements	NA	6	4	NA	4042	0.0057

DNA/MuDR	MuDR-1_GR	7211	32	28	NA	33072	0.05
DNA/MuDR	MuDR-2_GR	6708	99	80	NA	93863	0.13
DNA/MuDR	MuDR-3_GR	4333	70	69	NA	9618	0.01
DNA/MuDR	MuDR-4_GR	7191	165	82	NA	189706	0.27
DNA/MuDR	MuDR-5_GR	7783	161	85	NA	132791	0.19
DNA/MuDR	MuDR-64_OS	5513	1	1	NA	447	0.00
###DNA/MuDR	All_elements	NA	528	345	NA	459497	0.6508

DNA/hAT	hAT-1_GR	4719	77	41	NA	32665	0.05
DNA/hAT	hAT-1_TC	3200	5	5	NA	6748	0.01
DNA/hAT	hAT-2_GR	5255	40	30	NA	12864	0.02
DNA/hAT	hAT-3_JC	1884	1	1	NA	1023	0.00
DNA/hAT	hAT-3_TC	5162	4	3	NA	2966	0.00
DNA/hAT	hAT-4_PTr	3687	3	3	NA	4603	0.01
DNA/hAT	hAT-4_TC	4738	1	1	NA	263	0.00
DNA/hAT	hAT-6_TC	3344	1	1	NA	1338	0.00
###DNA/hAT	All_elements	NA	132	85	NA	62470	0.0885

######Type:DNA	All_elements	NA	857	537	NA	799668	1.1326

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	3736CL0030	No_ref_available	2	2	0	190	0.00
###LTR	All_elements	NA	2	2	0	190	0.0003

LTR/Copia	ATCOPIA28_I-int	No_ref_available	2	2	0	1440	0.00
LTR/Copia	COP14_I_MT-int	No_ref_available	1	1	0	35	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	3	2	0	664	0.00
LTR/Copia	COPI1_I-int	No_ref_available	3	2	0	212	0.00
LTR/Copia	COPI2_I-int	No_ref_available	1	1	0	383	0.00
LTR/Copia	Copia-10_JC-I	No_ref_available	4	1	0	1962	0.00
LTR/Copia	Copia-11_CP-I	No_ref_available	4	3	0	5064	0.01
LTR/Copia	Copia-11_GR-I	No_ref_available	4	2	0	8101	0.01
LTR/Copia	Copia-12_TC-I	No_ref_available	15	9	0	6921	0.01
LTR/Copia	Copia-13_Cia-I	No_ref_available	4	4	0	729	0.00
LTR/Copia	Copia-13_ECa-I	No_ref_available	1	1	0	749	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	4	3	0	769	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	2	1	0	3953	0.01
LTR/Copia	Copia-14_GM-I	No_ref_available	1	1	0	429	0.00
LTR/Copia	Copia-14_GR-I	631	98	58	21	106729	0.15
LTR/Copia	Copia-15_ECa-I	No_ref_available	3	3	0	295	0.00
LTR/Copia	Copia-15_GR-I	371	176	145	3	487942	0.69
LTR/Copia	Copia-15_TC-I	No_ref_available	1	1	0	92	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	5	3	0	6793	0.01
LTR/Copia	Copia-16_ST-I	No_ref_available	2	1	0	3945	0.01
LTR/Copia	Copia-17_CP-I	No_ref_available	5	2	0	6163	0.01
LTR/Copia	Copia-17_RC-I	No_ref_available	2	1	0	664	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	1	1	0	1108	0.00
LTR/Copia	Copia-18_BD-I	No_ref_available	1	1	0	193	0.00
LTR/Copia	Copia-18_GR-I	4986	1	1	0	1677	0.00
LTR/Copia	Copia-18_PPe-I	No_ref_available	1	1	0	160	0.00
LTR/Copia	Copia-18_PTri-I	No_ref_available	2	1	0	2376	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	5	3	0	8405	0.01
