Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	105	65	NA	226014	0.30
###DNA/EnSpmCACTA	All_elements	NA	105	65	NA	226014	0.2963

DNA/L1	L1-1_GR	5704	95	41	NA	106107	0.14
###DNA/L1	All_elements	NA	95	41	NA	106107	0.1391

DNA/MarinerTc1	Mariner-1_RC	2222	3	2	NA	3029	0.00
###DNA/MarinerTc1	All_elements	NA	3	2	NA	3029	0.0040

DNA/MuDR	MuDR-1_GR	7191	39	27	NA	22268	0.03
DNA/MuDR	MuDR-2_GR	6708	120	88	NA	112352	0.15
DNA/MuDR	MuDR-3_GR	4333	42	42	NA	10105	0.01
DNA/MuDR	MuDR-4_GR	7191	208	94	NA	279882	0.37
DNA/MuDR	MuDR-5_GR	7783	172	102	NA	117165	0.15
###DNA/MuDR	All_elements	NA	581	353	NA	541772	0.7102

DNA/hAT	hAT-1_GR	4719	55	30	NA	35563	0.05
DNA/hAT	hAT-1_TC	3200	3	3	NA	3382	0.00
DNA/hAT	hAT-2_GR	5255	52	29	NA	23445	0.03
DNA/hAT	hAT-4_PTr	3687	11	11	NA	17148	0.02
###DNA/hAT	All_elements	NA	121	73	NA	79538	0.1043

######Type:DNA	All_elements	NA	905	534	NA	956460	1.2537

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Copia	1001CL0128	No_ref_available	2	2	0	131	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	2	2	0	1071	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	2	1	0	284	0.00
LTR/Copia	COPI1_I-int	No_ref_available	2	2	0	205	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	1	1	0	83	0.00
LTR/Copia	Copia-10_CP-I	No_ref_available	2	2	0	1216	0.00
LTR/Copia	Copia-10_JC-I	No_ref_available	2	1	0	1993	0.00
LTR/Copia	Copia-12_JC-I	No_ref_available	3	3	0	2992	0.00
LTR/Copia	Copia-12_TC-I	No_ref_available	20	11	0	14780	0.02
LTR/Copia	Copia-13_Cia-I	No_ref_available	2	1	0	735	0.00
LTR/Copia	Copia-13_ECa-I	No_ref_available	1	1	0	103	0.00
LTR/Copia	Copia-13_GM-I	No_ref_available	1	1	0	248	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	7	6	0	1350	0.00
LTR/Copia	Copia-14_CP-I	No_ref_available	2	1	0	3104	0.00
LTR/Copia	Copia-14_GR-I	5729	51	30	6	37835	0.05
LTR/Copia	Copia-15_CP-I	No_ref_available	4	2	0	3333	0.00
LTR/Copia	Copia-15_GR-I	4857	224	173	10	576758	0.76
LTR/Copia	Copia-15_TC-I	No_ref_available	2	2	0	366	0.00
LTR/Copia	Copia-16_GR-I	No_ref_available	8	5	0	8428	0.01
LTR/Copia	Copia-17_CP-I	No_ref_available	2	2	0	6865	0.01
LTR/Copia	Copia-17_GR-I	No_ref_available	2	1	0	1498	0.00
LTR/Copia	Copia-17_RC-I	No_ref_available	3	2	0	1224	0.00
LTR/Copia	Copia-17_TC-I	No_ref_available	5	2	0	1460	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	3	3	0	5043	0.01
LTR/Copia	Copia-19_TC-I	No_ref_available	1	1	0	1845	0.00
LTR/Copia	Copia-1_BDi-I	No_ref_available	2	2	0	318	0.00
LTR/Copia	Copia-1_GR-I	1489	235	108	84	214027	0.28
LTR/Copia	Copia-1_MN-I	No_ref_available	1	1	0	359	0.00
LTR/Copia	Copia-1_NN-I	No_ref_available	7	6	0	6631	0.01
LTR/Copia	Copia-1_RC-I	No_ref_available	4	3	0	5371	0.01
LTR/Copia	Copia-20_GM-I	No_ref_available	1	1	0	62	0.00
LTR/Copia	Copia-21_Cia-I	No_ref_available	1	1	0	69	0.00
LTR/Copia	Copia-21_ST-I	No_ref_available	1	1	0	57	0.00
LTR/Copia	Copia-22_ECa-I	No_ref_available	2	2	0	1798	0.00
LTR/Copia	Copia-23_GR-I	485	155	60	13	99459	0.13
LTR/Copia	Copia-24_GR-I	9443	97	55	11	108160	0.14
LTR/Copia	Copia-24_PX-I	No_ref_available	4	4	0	12370	0.02
LTR/Copia	Copia-25_GR-I	No_ref_available	3	2	0	7997	0.01
LTR/Copia	Copia-25_RC-I	No_ref_available	4	3	0	2640	0.00
LTR/Copia	Copia-26_TC-I	No_ref_available	1	1	0	698	0.00
LTR/Copia	Copia-27_ECa-I	No_ref_available	4	2	0	5775	0.01
LTR/Copia	Copia-27_GM-I	No_ref_available	1	1	0	302	0.00
LTR/Copia	Copia-27_GR-I	No_ref_available	4	2	0	2969	0.00
LTR/Copia	Copia-28_GR-I	No_ref_available	4	2	0	3593	0.00
LTR/Copia	Copia-29_AIp-I	No_ref_available	4	3	0	2240	0.00
LTR/Copia	Copia-29_MN-I	No_ref_available	1	1	0	1381	0.00
LTR/Copia	Copia-29_TC-I	No_ref_available	1	1	0	166	0.00
LTR/Copia	Copia-2_AIp-I	No_ref_available	1	1	0	99	0.00
LTR/Copia	Copia-30_GR-I	No_ref_available	8	6	0	10807	0.01
LTR/Copia	Copia-30_Pru-I	No_ref_available	2	1	0	1849	0.00
LTR/Copia	Copia-30_TC-I	No_ref_available	5	3	0	3258	0.00
LTR/Copia	Copia-31_GR-I	No_ref_available	2	1	0	4034	0.01
LTR/Copia	Copia-31_LU-I	No_ref_available	1	1	0	421	0.00
LTR/Copia	Copia-31_MN-I	No_ref_available	1	1	0	95	0.00
LTR/Copia	Copia-31_RC-I	No_ref_available	3	3	0	211	0.00
LTR/Copia	Copia-32_GR-I	5011	11	7	0	20457	0.03
LTR/Copia	Copia-33_GR-I	5237	16	7	1	23405	0.03
LTR/Copia	Copia-33_LU-I	No_ref_available	1	1	0	81	0.00
LTR/Copia	Copia-33_MN-I	No_ref_available	1	1	0	103	0.00
LTR/Copia	Copia-33_RC-I	No_ref_available	1	1	0	96	0.00
LTR/Copia	Copia-34_GR-I	No_ref_available	5	4	0	16083	0.02
LTR/Copia	Copia-34_RC-I	No_ref_available	5	5	0	177	0.00
LTR/Copia	Copia-35_GR-I	5362	12	8	0	17193	0.02
LTR/Copia	Copia-35_JC-I	No_ref_available	2	2	0	121	0.00
LTR/Copia	Copia-36_GR-I	No_ref_available	6	5	0	13722	0.02
LTR/Copia	Copia-36_MN-I	No_ref_available	2	1	0	1547	0.00
LTR/Copia	Copia-37_GR-I	4782	22	10	0	36361	0.05
LTR/Copia	Copia-37_JC-I	No_ref_available	3	2	0	470	0.00
LTR/Copia	Copia-37_VV-I	No_ref_available	1	1	0	43	0.00
LTR/Copia	Copia-38_JC-I	No_ref_available	1	1	0	1120	0.00
LTR/Copia	Copia-38_MN-I	No_ref_available	4	2	0	1709	0.00
LTR/Copia	Copia-38_RC-I	No_ref_available	1	1	0	547	0.00
LTR/Copia	Copia-39_ECa-I	No_ref_available	2	2	0	334	0.00
LTR/Copia	Copia-39_GR-I	No_ref_available	8	5	0	6842	0.01
LTR/Copia	Copia-39_MN-I	No_ref_available	12	4	0	13787	0.02
LTR/Copia	Copia-3_AIp-I	No_ref_available	1	1	0	63	0.00
LTR/Copia	Copia-3_MN-I	No_ref_available	2	1	0	2778	0.00
LTR/Copia	Copia-41_GR-I	4991	10	7	0	16690	0.02
LTR/Copia	Copia-41_RC-I	No_ref_available	3	1	0	593	0.00
LTR/Copia	Copia-42_GR-I	No_ref_available	6	6	0	20042	0.03
LTR/Copia	Copia-43_GR-I	No_ref_available	2	1	0	2803	0.00
LTR/Copia	Copia-44_GR-I	No_ref_available	10	5	0	7610	0.01
LTR/Copia	Copia-44_VV-I	No_ref_available	1	1	0	595	0.00
LTR/Copia	Copia-45_GM-I	No_ref_available	1	1	0	84	0.00
LTR/Copia	Copia-45_GR-I	5324	98	40	0	105699	0.14
LTR/Copia	Copia-45_JC-I	No_ref_available	2	1	0	813	0.00
LTR/Copia	Copia-46_GR-I	No_ref_available	14	10	0	37343	0.05
LTR/Copia	Copia-46_RC-I	No_ref_available	21	4	0	7848	0.01
LTR/Copia	Copia-47_GR-I	5076	180	98	2	138423	0.18
LTR/Copia	Copia-47_MN-I	No_ref_available	3	2	0	2011	0.00
LTR/Copia	Copia-49_ECa-I	No_ref_available	1	1	0	37	0.00
LTR/Copia	Copia-49_ST-I	No_ref_available	1	1	0	55	0.00
LTR/Copia	Copia-4_JC-I	No_ref_available	1	1	0	320	0.00
LTR/Copia	Copia-4_NN-I	No_ref_available	1	1	0	57	0.00
LTR/Copia	Copia-50_BD-I	No_ref_available	5	3	0	7194	0.01
LTR/Copia	Copia-52_GR-I	No_ref_available	7	3	0	3810	0.00
LTR/Copia	Copia-52_MN-I	No_ref_available	1	1	0	63	0.00
LTR/Copia	Copia-53_GR-I	1899	1017	655	425	649703	0.85
LTR/Copia	Copia-54_GR-I	10285	258	185	137	270490	0.35
LTR/Copia	Copia-54_JC-I	No_ref_available	2	1	0	1241	0.00
LTR/Copia	Copia-55_GR-I	4774	24	15	0	20853	0.03
LTR/Copia	Copia-56_GR-I	No_ref_available	262	115	0	191532	0.25
LTR/Copia	Copia-57B_NS-I	No_ref_available	2	2	0	2921	0.00
LTR/Copia	Copia-57_GR-I	6052	8	4	0	7970	0.01
LTR/Copia	Copia-57_NS-I	No_ref_available	2	1	0	1144	0.00
LTR/Copia	Copia-58_GR-I	4811	13	9	0	27684	0.04
LTR/Copia	Copia-58_NS-I	No_ref_available	14	10	0	13159	0.02
LTR/Copia	Copia-58_VV-I	No_ref_available	1	1	0	261	0.00
LTR/Copia	Copia-59_NS-I	No_ref_available	1	1	0	70	0.00
LTR/Copia	Copia-5_ATr-I	No_ref_available	2	1	0	1340	0.00
LTR/Copia	Copia-5_OS-I	No_ref_available	3	2	0	803	0.00
LTR/Copia	Copia-60_GM-I	No_ref_available	1	1	0	149	0.00
LTR/Copia	Copia-61_BD-I	No_ref_available	4	4	0	999	0.00
LTR/Copia	Copia-61_MN-I	No_ref_available	1	1	0	619	0.00
LTR/Copia	Copia-62_GM-I	No_ref_available	2	2	0	1540	0.00
LTR/Copia	Copia-64_MN-I	No_ref_available	1	1	0	448	0.00
LTR/Copia	Copia-66_NS-I	No_ref_available	9	5	0	8087	0.01
LTR/Copia	Copia-66_ZM-I	No_ref_available	1	1	0	539	0.00
LTR/Copia	Copia-69_GM-I	No_ref_available	1	1	0	1470	0.00
LTR/Copia	Copia-6_GR-I	No_ref_available	1	1	0	406	0.00
LTR/Copia	Copia-70_NS-I	No_ref_available	37	19	0	8527	0.01
LTR/Copia	Copia-71_MN-I	No_ref_available	15	9	0	4454	0.01
LTR/Copia	Copia-72_VV-I	No_ref_available	2	2	0	360	0.00
LTR/Copia	Copia-74_MN-I	No_ref_available	1	1	0	220	0.00
LTR/Copia	Copia-77_ST-I	No_ref_available	3	2	0	2639	0.00
LTR/Copia	Copia-78_MN-I	No_ref_available	2	1	0	230	0.00
LTR/Copia	Copia-79_VV-I	No_ref_available	11	7	0	4212	0.01
LTR/Copia	Copia-7_ATr-I	No_ref_available	3	1	0	239	0.00
LTR/Copia	Copia-7_PAb-I	No_ref_available	1	1	0	94	0.00
LTR/Copia	Copia-7_PD-I	No_ref_available	1	1	0	417	0.00
LTR/Copia	Copia-82_MN-I	No_ref_available	2	2	0	933	0.00
LTR/Copia	Copia-85_ST-I	No_ref_available	11	9	0	3119	0.00
LTR/Copia	Copia-85_VV-I	No_ref_available	2	1	0	723	0.00
LTR/Copia	Copia-86_ST-I	No_ref_available	9	6	0	7979	0.01
LTR/Copia	Copia-86_VV-I	No_ref_available	1	1	0	865	0.00
